CityEn,CityKZ,CityKZLat
Aktau,Ақтау,Aqtau
Aktobe,Ақтөбе,Aqtöbe
Almaty,Алматы,Almaty
Astana,Астана,Astana
Arkalyk,Арқалық,Arqalyq
Atyrau,Атырау,Atyrau
Baikonur,Байқоңыр,Baiqoñyr
Balqash,Балқаш,Balqaş
Jezkazgan,Жезқазған,Jezqazğan
Karaganda,Қарағанды,Qarağandy
Kentau,Кентау,Kentau
Kyzylorda,Қызылорда,Qyzylorda
Kokshetau,Көкшетау,Kökşetau
Kostanay,Қостанай,Qostanai
Janaözen,Жаңаөзен,Jañaözen
Pavlodar,Павлодар,Pavlodar
Petropavl,Петропавл,Petropavl
Ridder,Риддер,Ridder
Saran,Саран,Saran
Satpayev,Сәтбаев,Sätbaev
Semey,Семей,Semei
Stepnogorsk,Степногорск,Stepnogorsk
Taldykorgan,Талдықорған,Taldyqorğan
Taraz,Тараз,Taraz
Temirtau,Теміртау,Temırtau
Turkistan,Түркістан,Türkıstan
Oral,Орал,Oral
Oskemen,Өскемен,Öskemen
Shymkent,Шымкент,Şymkent
Shakhtinsk,Шахтинск,Şahtinsk
Schuchinsk,Щучинск,Şçuçinsk
Ekibastuz,Екібастұз,Ekıbastūz